id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
wmm2TFEwMmb7AVaE-xlBNQ,happy-cruises-coconut-grove,Happy Cruises,https://s3-media3.fl.yelpcdn.com/bphoto/jY90grtoKH2JTeBYXOXHLA/o.jpg,False,https://www.yelp.com/biz/happy-cruises-coconut-grove?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,9,"[{'alias': 'boatcharters', 'title': 'Boat Charters'}]",5.0,"{'latitude': 25.7267412, 'longitude': -80.2352719}",[],"{'address1': '3400 Pan American Dr', 'address2': '', 'address3': '', 'city': 'Coconut Grove', 'zip_code': '33133', 'country': 'US', 'state': 'FL', 'display_address': ['3400 Pan American Dr', 'Coconut Grove, FL 33133']}",+17865667032,(786) 566-7032,6243.614846325348,
dJBYIYRDfb6o1yu4-PyrHQ,starlux-yachts-miami-beach,Starlux Yachts,https://s3-media3.fl.yelpcdn.com/bphoto/IV4NMG1QCHpVVUqIrcMbcA/o.jpg,False,https://www.yelp.com/biz/starlux-yachts-miami-beach?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,28,"[{'alias': 'boatcharters', 'title': 'Boat Charters'}, {'alias': 'boating', 'title': 'Boating'}, {'alias': 'tours', 'title': 'Tours'}]",5.0,"{'latitude': 25.7705631256104, 'longitude': -80.1369781494141}",[],"{'address1': '140 Meridian Ave', 'address2': 'Unit 323', 'address3': '', 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['140 Meridian Ave', 'Unit 323', 'Miami Beach, FL 33139']}",+17867241919,(786) 724-1919,9245.197562165507,
9DSfS-_P3jUKdIO-cNhDoQ,tikki-beach-charters-miami-5,Tikki Beach Charters,https://s3-media4.fl.yelpcdn.com/bphoto/VxRIpS3ElNfCT7_8LizUtA/o.jpg,False,https://www.yelp.com/biz/tikki-beach-charters-miami-5?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,6,"[{'alias': 'boatcharters', 'title': 'Boat Charters'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",5.0,"{'latitude': 25.7950053, 'longitude': -80.1872561}",[],"{'address1': '1900 N Bayshore Dr', 'address2': 'Ste 135', 'address3': None, 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['1900 N Bayshore Dr', 'Ste 135', 'Miami, FL 33132']}",+13053502112,(305) 350-2112,4341.181095143423,
_MQlvyPjPEAMsx-tvmtsAQ,caribbean-spirit-miami,Caribbean Spirit,https://s3-media2.fl.yelpcdn.com/bphoto/RLxMDN3QXiHBg0AV2QNliw/o.jpg,False,https://www.yelp.com/biz/caribbean-spirit-miami?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,66,"[{'alias': 'boating', 'title': 'Boating'}]",4.0,"{'latitude': 25.77728, 'longitude': -80.185531}",[],"{'address1': '401 Biscayne Blvd', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['401 Biscayne Blvd', 'Miami, FL 33132']}",+13057441355,(305) 744-1355,4326.920918666223,
m_Nx9UF169JbzXoC_yCvgg,biscayne-lady-yacht-charters-miami,Biscayne Lady Yacht Charters,https://s3-media1.fl.yelpcdn.com/bphoto/8cRLJUJQvKhNppNfAlDc5g/o.jpg,False,https://www.yelp.com/biz/biscayne-lady-yacht-charters-miami?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,18,"[{'alias': 'boatcharters', 'title': 'Boat Charters'}]",4.5,"{'latitude': 25.790185, 'longitude': -80.185699}",[],"{'address1': '555 NE 15th St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['555 NE 15th St', 'Miami, FL 33132']}",+13053795119,(305) 379-5119,4353.5876626151,
5OIz9VWlIM77UjZTrcd07g,miami-sailing-private-charters-miami,Miami Sailing Private Charters,https://s3-media1.fl.yelpcdn.com/bphoto/R8XJu_6NiwoAgJVGAAEhkw/o.jpg,False,https://www.yelp.com/biz/miami-sailing-private-charters-miami?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,10,"[{'alias': 'boatcharters', 'title': 'Boat Charters'}, {'alias': 'boating', 'title': 'Boating'}, {'alias': 'sailing', 'title': 'Sailing'}]",5.0,"{'latitude': 25.7690616351009, 'longitude': -80.1385212804871}",[],"{'address1': '3400 Pan American Dr', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['3400 Pan American Dr', 'Miami, FL 33139']}",+17864233131,(786) 423-3131,9118.518430119502,
wt9InqMPx_F0_ZI0wTcUFA,island-queen-cruises-miami,Island Queen Cruises,https://s3-media4.fl.yelpcdn.com/bphoto/iqdy6Wo2BECE6D_ShLbdmA/o.jpg,False,https://www.yelp.com/biz/island-queen-cruises-miami?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,164,"[{'alias': 'boattours', 'title': 'Boat Tours'}, {'alias': 'bustours', 'title': 'Bus Tours'}, {'alias': 'boatcharters', 'title': 'Boat Charters'}]",3.0,"{'latitude': 25.7792199, 'longitude': -80.1865475}",[],"{'address1': '401 Biscayne Blvd', 'address2': 'slip 1 - 4', 'address3': '', 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['401 Biscayne Blvd', 'slip 1 - 4', 'Miami, FL 33132']}",+13053795119,(305) 379-5119,4201.6229140133555,
ElqVs-dhIEl_AuDXmhHRiQ,catamaran-sailing-miami-miami-2,Catamaran Sailing Miami,https://s3-media1.fl.yelpcdn.com/bphoto/0rSnA_cMWwSa_-W3Pb_Kfw/o.jpg,False,https://www.yelp.com/biz/catamaran-sailing-miami-miami-2?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,10,"[{'alias': 'tours', 'title': 'Tours'}, {'alias': 'boating', 'title': 'Boating'}, {'alias': 'boatcharters', 'title': 'Boat Charters'}]",5.0,"{'latitude': 25.7272835075855, 'longitude': -80.2359826862812}",[],"{'address1': '3400 Pan American Dr', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33133', 'country': 'US', 'state': 'FL', 'display_address': ['3400 Pan American Dr', 'Miami, FL 33133']}",+19542180042,(954) 218-0042,6078.274588032529,
byXqeHtghakWCHL6aw5Lzw,captain-sir-charters-miami,Captain Sir! Charters,https://s3-media4.fl.yelpcdn.com/bphoto/eZfskgjZ915YJhjk8cdp_w/o.jpg,False,https://www.yelp.com/biz/captain-sir-charters-miami?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,21,"[{'alias': 'boating', 'title': 'Boating'}, {'alias': 'boatcharters', 'title': 'Boat Charters'}]",5.0,"{'latitude': 25.783950805664062, 'longitude': -80.19059753417969}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33132', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33132']}",+17862182454,(786) 218-2454,6203.905859940395,
kLOTeC86GoLePK702GJzvA,catamaran-adventure-charters-miami,Catamaran Adventure Charters,https://s3-media2.fl.yelpcdn.com/bphoto/Et8pZWQV769B-ak9JpPkbA/o.jpg,False,https://www.yelp.com/biz/catamaran-adventure-charters-miami?adjust_creative=xaZ1Joo3-9aWJr5cVO0Jdg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xaZ1Joo3-9aWJr5cVO0Jdg,9,"[{'alias': 'boatcharters', 'title': 'Boat Charters'}]",5.0,"{'latitude': 25.7655902623883, 'longitude': -80.1878956175664}",[],"{'address1': '338 Brickell Key Dr', 'address2': '', 'address3': 'Four Ambassadors Marina', 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['338 Brickell Key Dr', 'Four Ambassadors Marina', 'Miami, FL 33131']}",+13056001011,(305) 600-1011,4428.038268331989,
